iter	Passed	Remaining
840	6786	1282
841	6793	1274
842	6800	1266
843	6808	1258
844	6815	1250
845	6823	1242
846	6830	1233
847	6837	1225
848	6851	1218
849	6865	1211
850	6880	1204
851	6894	1197
852	6906	1190
853	6931	1184
854	6946	1178
855	6962	1171
856	6978	1164
857	6993	1157
858	7006	1150
859	7021	1143
860	7034	1135
861	7047	1128
862	7068	1122
863	7079	1114
864	7097	1107
865	7111	1100
866	7123	1092
867	7131	1084
868	7139	1076
869	7148	1068
870	7156	1059
871	7164	1051
872	7171	1043
873	7179	1035
874	7187	1026
875	7194	1018
876	7202	1010
877	7210	1001
878	7217	993
879	7225	985
880	7233	977
881	7240	968
882	7248	960
883	7256	952
884	7264	943
885	7277	936
886	7286	928
887	7297	920
888	7308	912
889	7319	904
890	7327	896
891	7335	888
892	7342	879
893	7351	871
894	7359	863
895	7368	855
896	7378	847
897	7386	838
898	7393	830
899	7400	822
900	7408	813
901	7415	805
902	7422	797
903	7430	789
904	7437	780
905	7444	772
906	7452	764
907	7459	755
908	7468	747
909	7481	739
910	7500	732
911	7517	725
912	7528	717
913	7537	709
914	7544	700
915	7551	692
916	7559	684
917	7566	675
918	7574	667
919	7581	659
920	7588	650
921	7596	642
922	7603	634
923	7611	626
924	7618	617
925	7625	609
926	7633	601
927	7640	592
928	7648	584
929	7655	576
930	7662	567
931	7669	559
932	7677	551
933	7688	543
934	7697	535
935	7710	527
936	7719	519
937	7727	510
938	7735	502
939	7742	494
940	7750	485
941	7757	477
942	7764	469
943	7771	461
944	7779	452
945	7787	444
946	7795	436
947	7802	427
948	7810	419
949	7818	411
950	7826	403
951	7834	395
952	7842	386
953	7850	378
954	7857	370
955	7866	362
956	7874	353
957	7882	345
958	7891	337
959	7901	329
960	7913	321
961	7922	312
962	7930	304
963	7938	296
964	7946	288
965	7953	279
966	7962	271
967	7969	263
968	7977	255
969	7985	246
970	7992	238
971	8001	230
972	8008	222
973	8016	213
974	8024	205
975	8031	197
976	8039	189
977	8047	181
978	8054	172
979	8062	164
980	8070	156
981	8078	148
982	8086	139
983	8096	131
984	8109	123
985	8118	115
986	8127	107
987	8134	98
988	8142	90
989	8150	82
990	8158	74
991	8166	65
992	8173	57
993	8181	49
994	8188	41
995	8195	32
996	8202	24
997	8209	16
998	8217	8
999	8224	0
